mot
abidy
action
adventista
ady
afa-kaba
afa-tsy
afaka
afatsy
afovoan
afovoan-tany
afovoantany
afovoany
afovon
afrika
afrikana
afrikanina
afro-indoneziana
ahafahan
ahafahana
ahafantaran
ahisaka
ahitana
ahitra
aiza
akata
akfm
akondro
akora
ala
alalan
alalana
alan
alaotra
alaotra-mangoro
albert
alemaina
alina
alizay
allocebus
aloha
alzeria
am-bifotsy
am-boalohany
am-pasana
am-pelantanana
am-pelatanan
am-pianarana
am-piandohan
amam-pitsipika
aman-jery
ambalavao
ambanin
ambanivohitra
ambany
ambara
ambaratonga
ambatolampy
ambatondrazaka
ambatosoa
ambin
ambohimahasoa
ambohimahazo
ambohimanga
ambohinamboarina
ambolena
ambony
ambositra
amby
amerika
amerikanina
amin
amina
aminy
amiraly
amonosan-damba
amoron
amoron-dranomasina
amoron-tsiraka
amorontsiraka
ampahan
ampahan-tany
ampahany
ampahatelon
ampahefatry
ampahibemaso
ampanihy
ampasimena
ampiasain
ampiasaina
ampihimamban
ampitan-dranomasina
ampitomboin
ampovoan-tanin
ampovoan-tany
ampovoany
ampy
an
an-d
an-dalam-pivoarana
an-dapa
an-dradama
an-dranavalona
an-dranomasina
an-drenivohitra
an-kabakabaka
an-kibon
an-ranavalona
an-tanety
an-tany
an-tendrona
an-terivozona
an-toerana
an-tsaha
an-tsehatra
an-tsitrapo
an-tsoratra
analamanga
analanjirofo
analavelona
anamboarana
anaovana
anaran
anaran-tany
anaran-tanàna
anarana
anatin
anatiny
anaty
andafy
andaniny
andevenana
andevo
andevon
andevoranto
andraikitra
andrefan
andrefana
andriamahazo
andriamanelo
andriamanitra
andriana
andrianampoinimerina
andrianjaka
andringitra
andro
androy
andry
anefa
anelanela
anelanelan
angamba
angano
angavo
anglisy
anglisy-malagasy
angovo
angovon
angovon-drano
angôla
aniany
anisa
anisan
anivon-tany
anjara
anjaran
anjarany
anjiro
ankabeazan
ankamaroan
ankamaroany
ankapobe
ankapoben
ankapobeny
ankaratra
ankazoabo
ankehitriny
ankila-bao
ankilany
ankizy
ankoatr
ankoatry
anondroana
anosy
anosyeo
antaifasy
antaimoro
antaisaka
antakarana
antambahoaka
antanala
antananarivo
antandroy
antandroña
antankarana
antanosy
antarktika
antefasy
antemoro
antenimiera
antenimieram-pirenena
antenimieran-doholona
antesaka
antoka
antoko
antokon
antoky
anton
antonontonony
antontanisan
antony
antrôpôlôgy
antsantsa
antsasa-manilan
antsasaky
antsika
antsirabe
antsiranana
antsohihy
antsoina
any
ao
aorian
aoriana
aostralia
aostrôneziana
aostrônezianin
aostrônezianina
apetraka
ara-barotra
ara-bola
ara-dalàna
ara-kolontsaina
ara-kolotsain
ara-pandraharahana
ara-pandrosoana
ara-paritr
ara-pehibe
ara-piarahamonina
ara-pitsaràna
ara-pivavahana
ara-poko
ara-politika
ara-pôlitika
Ara-pôlitikana
ara-tantara
ara-toekarena
ara-tsôsialy
arabe
arabo
araka
arakaraka
arakaraky
araky
aratra
archived
arema
aretina
